X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,009507070,-70.2647,169.38,-95.8062,0.009291,0.009313,0.027932,,,,,
0d - 00:00:00,009572185,-73.7659,169.59,-92.7123,0,-0.0093,0.009311,,,,,
0d - 00:00:00,009637300,-76.6493,169.38,-89.4466,0.009291,-0.0093,0.027932,,,,,
0d - 00:00:00,009702415,-80.6310,168.86,-84.6683,0,0.03725,0.009311,,,,,
0d - 00:00:00,009767530,-84.8874,168.49,-80.1994,-0.0093,0.009313,0.018621,,,,,
0d - 00:00:00,009832645,-88.8349,168.35,-76.1087,-0.0650,0.027939,0.009311,,,,,
0d - 00:00:00,009897760,-93.0226,168.04,-71.5367,-0.0186,0.027939,-0.0186,,,,,
0d - 00:00:00,009962875,-97.3820,167.63,-66.8615,-0.0186,0.018626,-0.0186,,,,,
0d - 00:00:00,010027990,-101.2608,167.35,-62.8051,0.018581,0,0.018621,,,,,
0d - 00:00:00,010093105,-104.7963,166.91,-58.8175,0.009291,0.027939,0.03724,,,,,
0d - 00:00:00,010158220,-108.8124,166.53,-54.3486,0.027872,0,0.018621,,,,,
0d - 00:00:00,010223335,-113.1031,166.15,-49.8453,0,-0.0093,0.05586,,,,,
0d - 00:00:00,010288450,-116.7073,165.88,-46.3390,-0.0465,0,0,,,,,
0d - 00:00:00,010353565,-119.6937,165.54,-42.9358,0,0.018626,0,,,,,
0d - 00:00:00,010418680,-122.8860,164.92,-39.2231,-0.0093,0,0.027932,,,,,
0d - 00:00:00,010483795,-125.9066,164.30,-35.7168,-0.0372,0.018626,-0.0559,,,,,
0d - 00:00:00,010548910,-128.9616,163.61,-32.2448,0.027872,0.018626,0.03724,,,,,
0d - 00:00:00,010614025,-131.8450,162.86,-28.6353,0.009291,0.03725,0,,,,,
0d - 00:00:00,010679140,-134.9343,162.07,-24.8539,-0.0093,0.009313,-0.0093,,,,,
0d - 00:00:00,010744255,-137.9206,161.28,-21.3132,-0.0093,0.009313,-0.0093,,,,,
0d - 00:00:00,010809370,-140.5980,160.39,-17.9100,-0.0279,0.009313,0.018621,,,,,
0d - 00:00:00,010874485,-143.4814,159.19,-13.7504,0,0.009313,-0.0186,,,,,
0d - 00:00:00,010939600,-146.2961,157.71,-9.7628,-0.0279,0,0.04655,,,,,
0d - 00:00:00,011004715,-148.4929,156.20,-6.3940,-0.0650,-0.0279,-0.0093,,,,,
0d - 00:00:00,011069830,-150.5181,154.48,-2.6813,-0.0186,0.009313,0,,,,,
0d - 00:00:00,011134945,-152.5777,152.05,1.8219,-0.0093,0.03725,0.03724,,,,,
0d - 00:00:00,011200060,-154.9118,149.92,5.981,-0.0372,0.009313,0,,,,,
0d - 00:00:00,011265175,-156.6967,148.20,9.282,-0.0093,-0.0093,0.03724,,,,,
0d - 00:00:00,011330290,-158.6533,145.90,13.338,-0.0093,0.04656,-0.0093,,,,,
0d - 00:00:00,011395405,-160.6785,143.16,17.669,-0.0186,0.027939,0,,,,,
0d - 00:00:00,011460520,-161.9486,140.48,21.210,-0.0279,0.009313,0.027932,,,,,
0d - 00:00:00,011525635,-163.2186,138.25,24.545,0,0,-0.0093,,,,,
0d - 00:00:00,011590750,-163.7335,134.54,28.532,-0.0093,0.04656,-0.0093,,,,,
0d - 00:00:00,011655865,-164.4544,130.39,33.52,-0.0186,0.027939,0.018621,,,,,
0d - 00:00:00,011720980,-166.3766,127.75,37.99,0.009291,0,0.027932,,,,,
0d - 00:00:00,011786095,-168.2988,125.41,41.97,-0.0372,-0.0093,0.018621,,,,,
0d - 00:00:00,011851210,-169.3629,122.15,46.10,0.009291,-0.0373,0.009311,,,,,
0d - 00:00:00,011916325,-169.6032,118.27,49.81,-0.0093,0.018626,0.04655,,,,,
0d - 00:00:00,011981440,-169.3973,114.94,52.80,-0.0279,0.009313,-0.0093,,,,,
0d - 00:00:00,012046555,-169.1227,111.55,56.20,-0.0557,0.009313,0.009311,,,,,
0d - 00:00:00,012111670,-169.4316,107.46,60.67,-0.0186,0.009313,-0.0093,,,,,
0d - 00:00:00,012176785,-169.8435,103.52,64.87,-0.0279,-0.0093,0.009311,,,,,
0d - 00:00:00,012241900,-170.0838,99.84,68.75,-0.0372,-0.0093,0,,,,,
0d - 00:00:00,012307015,-170.0838,95.52,72.91,-0.0465,0,-0.0186,,,,,
0d - 00:00:00,012372130,-169.6719,91.23,76.66,-0.0279,0.009313,-0.0093,,,,,
0d - 00:00:00,012437245,-169.0197,87.69,79.58,-0.0279,-0.0093,-0.0279,,,,,
0d - 00:00:00,012502360,-168.7451,83.47,83.88,-0.0465,0.009313,-0.0093,,,,,
0d - 00:00:00,012567475,-168.7451,78.43,88.83,-0.0557,0.018626,0,,,,,
0d - 00:00:00,012632590,-168.6421,74.17,92.57,-0.0372,-0.0186,0.03724,,,,,
0d - 00:00:00,012697705,-168.2302,70.09,96.46,-0.0929,-0.0279,-0.0186,,,,,
0d - 00:00:00,012762820,-167.6467,65.04,101.07,-0.0650,0.009313,0.018621,,,,,
0d - 00:00:00,012827935,-167.3720,60.78,104.98,-0.0186,0.009313,0.009311,,,,,
0d - 00:00:00,012893050,-166.8915,56.97,108.11,-0.0465,0.009313,0.009311,,,,,
0d - 00:00:00,012958165,-166.3080,52.75,112.03,-0.0465,0.009313,0.018621,,,,,
0d - 00:00:00,013023280,-165.8617,48.39,115.95,-0.0279,0,0.018621,,,,,
0d - 00:00:00,013088395,-165.5871,44.76,119.15,-0.0372,0.009313,-0.0279,,,,,
0d - 00:00:00,013153510,-165.2439,41.29,122.31,0.018581,0.018626,0.018621,,,,,
0d - 00:00:00,013218625,-164.6260,37.93,125.30,-0.0465,-0.0186,0.027932,,,,,
0d - 00:00:00,013283740,-164.1797,34.49,128.36,-0.0650,0.018626,0.03724,,,,,
0d - 00:00:00,013348855,-163.6992,31.199,131.35,-0.0279,0.009313,-0.0279,,,,,
0d - 00:00:00,013413970,-163.0813,27.767,134.34,-0.0279,0,0,,,,,
