X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,006119494,130.92,35.32,-166.9991,0.027872,0,-0.0093,,,,,
0d - 00:00:00,006184595,126.39,39.71,-166.9991,0.018581,-0.0186,0.009311,,,,,
0d - 00:00:00,006249696,123.09,43.76,-168.0992,0.018581,-0.0279,0.04655,,,,,
0d - 00:00:00,006314797,119.93,48.43,-169.5429,0.06504,0.009313,0.009311,,,,,
0d - 00:00:00,006379898,115.88,52.48,-169.2679,0,0.009313,0.027932,,,,,
0d - 00:00:00,006444999,112.21,55.46,-168.8554,0.009291,0.027939,0,,,,,
0d - 00:00:00,006510100,108.33,58.45,-167.1366,0.009291,-0.0093,-0.0186,,,,,
0d - 00:00:00,006575201,102.84,61.81,-165.8991,-0.0929,0.009313,0.027932,,,,,
0d - 00:00:00,006640302,99.51,66.65,-168.4085,0.04645,0,0.009311,,,,,
0d - 00:00:00,006705403,97.76,71.84,-171.3305,0.05574,0.018626,0.03724,,,,,
0d - 00:00:00,006770504,94.22,75.75,-170.8492,0.018581,-0.0279,0.08380,,,,,
0d - 00:00:00,006835605,89.38,78.70,-169.0273,0.027872,-0.0093,0,,,,,
0d - 00:00:00,006900706,85.13,82.10,-168.5117,0.027872,0.08382,-0.0186,,,,,
0d - 00:00:00,006965807,80.84,86.11,-168.2023,0.027872,0,0.03724,,,,,
0d - 00:00:00,007030908,77.06,89.51,-167.9960,0.11149,-0.0093,0.03724,,,,,
0d - 00:00:00,007096009,74.01,92.67,-168.2366,0.027872,0,-0.0466,,,,,
0d - 00:00:00,007161110,70.85,96.38,-168.7179,0.12078,-0.0373,-0.0186,,,,,
0d - 00:00:00,007226211,66.69,100.19,-168.0304,-0.0186,0,0.03724,,,,,
0d - 00:00:00,007291312,62.64,103.21,-166.9647,-0.0557,0,-0.0093,,,,,
0d - 00:00:00,007356413,58.73,106.47,-166.5178,0.027872,-0.0931,-0.0372,,,,,
0d - 00:00:00,007421514,53.99,111.00,-166.2085,0,0.027939,-0.0279,,,,,
0d - 00:00:00,007486615,48.85,115.94,-165.9335,0.08362,-0.0093,0.018621,,,,,
0d - 00:00:00,007551716,44.66,119.75,-165.5553,0.027872,0.009313,0.009311,,,,,
0d - 00:00:00,007616817,41.23,122.84,-165.3147,0.05574,0.027939,0,,,,,
0d - 00:00:00,007681918,37.96,125.65,-164.5928,0.09291,-0.0186,-0.0093,,,,,
0d - 00:00:00,007747019,34.50,128.02,-163.3896,0.027872,0.027939,0.009311,,,,,
0d - 00:00:00,007812120,31.305,130.39,-162.4615,0.027872,0.018626,0.009311,,,,,
0d - 00:00:00,007877221,28.147,133.07,-161.6364,-0.0465,0.009313,-0.0745,,,,,
0d - 00:00:00,007942322,24.474,136.19,-160.9145,0.018581,-0.0093,-0.0186,,,,,
0d - 00:00:00,008007423,20.801,139.21,-160.0895,-0.0093,0.06519,-0.0838,,,,,
0d - 00:00:00,008072523,17.060,142.20,-159.1270,-0.0279,-0.0093,-0.0372,,,,,
0d - 00:00:00,008137625,12.872,145.08,-157.6488,-0.0186,-0.0559,-0.0186,,,,,
0d - 00:00:00,008202726,8.856,147.41,-155.7925,0.018581,0.018626,0.09311,,,,,
0d - 00:00:00,008267827,5.218,149.68,-154.3487,0.17652,0,-0.0466,,,,,
0d - 00:00:00,008267999,,,,,,,121.53,121.64,121.77,0.07579,
0d - 00:00:00,008333000,0.9268,151.81,-151.8049,0.009291,0.08382,0,,,,,
0d - 00:00:00,008398101,-3.8102,154.07,-149.1923,0.027872,-0.0466,-0.0279,,,,,
0d - 00:00:00,008463202,-7.6546,156.27,-147.7141,0.04645,0.018626,0,,,,,
0d - 00:00:00,008528303,-11.7737,156.78,-143.1765,-0.0557,0.04656,0,,,,,
0d - 00:00:00,008593404,-16.2360,157.26,-139.7045,0.027872,0.027939,0.009311,,,,,
0d - 00:00:00,008658505,-19.8402,160.97,-139.9451,0.08362,0.018626,-0.0372,,,,,
0d - 00:00:00,008723606,-22.9296,164.03,-139.1888,0.009291,0,0,,,,,
0d - 00:00:00,008788707,-26.3621,164.61,-135.8544,0.04645,0.03725,-0.0279,,,,,
0d - 00:00:00,008853808,-30.0006,165.05,-132.5199,0,0,0,,,,,
0d - 00:00:00,008918909,-34.4973,166.29,-128.8073,-0.0836,0.027939,0,,,,,
0d - 00:00:00,008984010,-40.0581,167.01,-123.6165,-0.0093,-0.0466,0,,,,,
0d - 00:00:00,009049111,-45.2069,167.90,-119.8695,-0.0093,0.009313,-0.0838,,,,,
0d - 00:00:00,009114212,-48.6395,168.90,-117.7038,0,0.027939,-0.0186,,,,,
0d - 00:00:00,009179313,-51.4199,169.24,-115.0224,-0.0465,0.04656,-0.0093,,,,,
0d - 00:00:00,009244414,-54.2003,168.80,-111.7223,0.03716,-0.0093,0.018621,,,,,
0d - 00:00:00,009309515,-57.3582,168.21,-107.4597,0.018581,0.03725,0,,,,,
0d - 00:00:00,009374616,-62.1638,166.36,-100.6876,0.018581,-0.0373,-0.0186,,,,,
0d - 00:00:00,009439717,-66.7635,166.50,-96.9750,0.03716,0.009313,0.027932,,,,,
0d - 00:00:00,009504818,-70.1960,169.07,-96.2531,0.04645,-0.0093,-0.0093,,,,,
0d - 00:00:00,009569919,-73.5256,170.68,-93.9843,0.06504,0.018626,0.03724,,,,,
0d - 00:00:00,009635020,-77.5417,170.37,-89.4122,-0.0279,0.05588,0,,,,,
0d - 00:00:00,009700121,-82.0041,169.96,-84.4621,-0.0186,0,0.009311,,,,,
0d - 00:00:00,009765222,-86.3634,169.55,-79.7869,-0.0279,0,-0.0186,,,,,
0d - 00:00:00,009830323,-90.2766,168.52,-74.9743,-0.0093,0.018626,-0.0745,,,,,
0d - 00:00:00,009895424,-93.5718,167.73,-70.9867,0.10220,0.027939,0.009311,,,,,
0d - 00:00:00,009960525,-97.1417,167.77,-67.5834,-0.0093,0.009313,0,,,,,
0d - 00:00:00,010025626,-101.1235,167.83,-63.4239,0.009291,0.018626,0.04655,,,,,
0d - 00:00:00,010090727,-105.2769,167.56,-58.9894,-0.0743,0.027939,0.009311,,,,,
0d - 00:00:00,010155828,-109.0184,167.29,-55.0361,-0.0557,-0.0093,0,,,,,
0d - 00:00:00,010220929,-112.7599,166.91,-50.9110,-0.0093,-0.0093,-0.0279,,,,,
0d - 00:00:00,010286030,-116.3984,166.22,-46.9921,-0.0093,-0.0279,-0.0279,,,,,
0d - 00:00:00,010351131,-119.4534,165.40,-43.2451,0.009291,0.05588,0,,,,,
0d - 00:00:00,010416232,-122.2338,164.71,-39.9450,-0.0093,0.03725,-0.0186,,,,,
0d - 00:00:00,010481333,-124.8768,164.13,-36.5762,-0.0465,0.018626,0.07449,,,,,
0d - 00:00:00,010546434,-128.1035,163.41,-32.7604,-0.0186,-0.0093,-0.0093,,,,,
0d - 00:00:00,010611535,-131.1584,162.65,-29.0134,-0.0279,0.08382,0,,,,,
0d - 00:00:00,010676636,-134.1791,162.07,-25.6446,-0.0650,0,-0.0745,,,,,
0d - 00:00:00,010741737,-136.8908,161.24,-22.2413,-0.1765,0.027939,-0.0093,,,,,
0d - 00:00:00,010806838,-139.9115,160.22,-18.3568,-0.0465,-0.0279,-0.0093,,,,,
0d - 00:00:00,010871939,-142.7605,159.01,-14.4036,-0.0557,0.03725,-0.0186,,,,,
0d - 00:00:00,010937040,-145.4036,157.40,-10.4160,0.08362,0.018626,0.009311,,,,,
0d - 00:00:00,011002141,-147.7721,155.89,-6.8065,-0.0650,-0.0559,0,,,,,
0d - 00:00:00,011067242,-150.3122,154.45,-2.9220,-0.0557,-0.0093,0.04655,,,,,
0d - 00:00:00,011132343,-152.4404,152.18,1.4782,0,0,-0.0093,,,,,
0d - 00:00:00,011197444,-154.7059,149.68,6.016,-0.0186,0.009313,-0.0093,,,,,
0d - 00:00:00,011262545,-156.3192,147.69,8.938,-0.0186,-0.0093,-0.0186,,,,,
0d - 00:00:00,011327646,-156.2505,143.64,12.788,-0.0372,0,-0.0186,,,,,
0d - 00:00:00,011392747,-158.6533,141.13,17.979,-0.0743,-0.0279,0.009311,,,,,
0d - 00:00:00,011457848,-161.2277,138.49,22.413,-0.0372,0.018626,0.03724,,,,,
0d - 00:00:00,011522949,-161.7770,135.54,25.713,0,0.018626,0.027932,,,,,
0d - 00:00:00,011588050,-163.9738,134.44,29.288,-0.0093,-0.0093,0,,,,,
0d - 00:00:00,011653151,-166.3766,131.90,33.52,0.018581,-0.0093,0,,,,,
0d - 00:00:00,011718252,-165.1752,126.10,37.85,0,0,0,,,,,
